,Unnamed: 0,入会时间,飞行次数,平均每公里票价,总里程,时间间隔差值,平均折扣率
0,0,2706.0,210,0.8157984009422834,580717,14.516746411,0.961639043
1,1,2597.0,140,1.154042863272019,293678,11.805755395999999,1.25231444
2,2,2615.0,135,1.1582167832167831,283712,12.701492537,1.254675516
3,3,2047.0,23,0.8596482497796228,281336,45.13636364,1.090869565
4,4,1816.0,152,0.8236170981647349,309928,42.21192053,0.970657895
5,5,2241.0,92,0.6426328563911944,294585,44.956043956,0.967692483
6,6,2931.0,101,0.8185875237770083,287042,20.81,0.965346535
7,7,1452.0,73,0.6872924137450823,287230,34.888888890000004,0.962070222
8,8,1028.0,56,0.4976748815667099,321489,80.94545455,0.828478237
9,9,1365.0,64,0.3879901032862849,375074,61.66666667,0.7080101529999999
10,10,1229.0,43,0.6130879002186914,262013,78.16666667,0.988658044
11,11,3425.0,145,0.80974660880201,271438,36.972222222,0.95253487
12,12,2685.0,29,0.307054729122412,321529,89.0,0.799126984
13,13,2714.0,118,1.2550441748275902,179514,31.803418803000003,1.398381742
14,14,1519.0,50,0.5480751072881914,270067,85.12244898,0.921984841
15,15,2194.0,22,0.5285594386526983,234721,70.80952381,1.026084586
16,16,1355.0,101,1.085484030168785,172231,34.16,1.3865249
17,17,1237.0,40,0.4557256475225226,284160,59.41025641,0.8378442429999999
18,18,2916.0,64,1.1380684703409345,169358,36.79365079,1.401596264
19,19,945.0,38,0.3401843218302413,332896,55.32432432,0.70828541
20,20,2070.0,106,1.1508919114611071,167113,24.561904761999998,1.369404116
21,21,1028.0,23,1.141823943333799,214590,102.09090909,1.061630924
22,22,3277.0,94,0.4378902538902539,305250,34.52688172,0.741803833
23,23,1448.0,20,0.556965554456336,222380,77.21052632,1.004904443
24,24,1506.0,44,0.4056458165535398,281837,50.11627907,0.7873084440000001
25,25,1264.0,62,0.6414389717409326,243674,109.75409836,0.902990019
26,26,2615.0,213,1.2417024537428758,187917,33.566037736,1.146354614
27,27,3362.0,74,1.2411272152537245,148685,41.506849315,1.4333644280000002
28,28,3005.0,101,1.269102426333352,159129,21.92,1.33816985
29,29,2114.0,87,1.248703552333606,149254,27.73255814,1.424714581
30,30,2911.0,53,1.1574377411921486,144076,47.53846154,1.469224298
31,31,3413.0,95,1.3087156917338127,149053,72.425531915,1.414895104
32,32,3276.0,131,0.7984095805347865,220948,44.507692308,0.944884271
33,33,2933.0,95,1.1615697544981685,148227,29.287234043,1.3986401940000002
34,34,2677.0,47,0.4643197822854418,285144,89.19565217,0.725685618
35,35,1630.0,25,0.7450371842514826,220389,48.58333333,0.937899941
36,36,3333.0,24,0.9027042404893236,189813,164.17391304,1.087220053
37,37,2923.0,54,1.2207258956684537,141012,42.62264151,1.462104927
